normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i5-9600kf,Core i5-9600KF  - Intel,Intel® Core™ i5-9600KF Processor,95.0,95.0,False,6,6,False
intel core i7-10510u,Core i7-10510U  - Intel,Intel® Core™ i7-10510U Processor,15.0,15.0,False,4,4,False
intel core i7-1065g7,Core i7-1065G7  - Intel,Intel® Core™ i7-1065G7 Processor,15.0,15.0,False,4,4,False
intel core i7-12700k,Core i7-12700K  - Intel,Intel® Core™ i7-12700K Processor,125.0,125.0,False,12,12,False
intel core i7-12700kf,Core i7-12700KF  - Intel,Intel® Core™ i7-12700KF Processor,125.0,125.0,False,12,12,False
intel core i7-13700k,Core i7-13700K  - Intel,Intel® Core™ i7-13700K Processor,125.0,125.0,False,16,16,False
intel core i7-13700kf,Core i7-13700KF  - Intel,Intel® Core™ i7-13700KF Processor,125.0,125.0,False,16,16,False
intel core i7-3920xm extreme edition,Core i7-3920XM Extreme Edition  - Intel,Intel® Core™ i7-3920XM Processor Extreme Edition,55.0,55.0,False,4,4,False
intel core i7-3940xm extreme edition,Core i7-3940XM Extreme Edition  - Intel,Intel® Core™ i7-3940XM Processor Extreme Edition,55.0,55.0,False,4,4,False
intel core i7-3960x extreme edition,Core i7-3960X Extreme Edition  - Intel,Intel® Core™ i7-3960X Processor Extreme Edition,130.0,130.0,False,6,6,False
intel core i7-3970x extreme edition,Core i7-3970X Extreme Edition  - Intel,Intel® Core™ i7-3970X Processor Extreme Edition,150.0,150.0,False,6,6,False
intel core i7-4750hq,Core i7-4750HQ  - Intel,Intel® Core™ i7-4750HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4760hq,Core i7-4760HQ  - Intel,Intel® Core™ i7-4760HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4770hq,Core i7-4770HQ  - Intel,Intel® Core™ i7-4770HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4770r,Core i7-4770R  - Intel,Intel® Core™ i7-4770R Processor,47.0,65.0,True,4,4,False
intel core i7-4850hq,Core i7-4850HQ  - Intel,Intel® Core™ i7-4850HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4860hq,Core i7-4860HQ  - Intel,Intel® Core™ i7-4860HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4870hq,Core i7-4870HQ  - Intel,Intel® Core™ i7-4870HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4930mx extreme edition,Core i7-4930MX Extreme Edition  - Intel,Intel® Core™ i7-4930MX Processor Extreme Edition,57.0,57.0,False,4,4,False
intel core i7-4940mx extreme edition,Core i7-4940MX Extreme Edition  - Intel,Intel® Core™ i7-4940MX Processor Extreme Edition,57.0,57.0,False,4,4,False
intel core i7-4950hq,Core i7-4950HQ  - Intel,Intel® Core™ i7-4950HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4960hq,Core i7-4960HQ  - Intel,Intel® Core™ i7-4960HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4960x extreme edition,Core i7-4960X Extreme Edition  - Intel,Intel® Core™ i7-4960X Processor Extreme Edition,130.0,130.0,False,6,6,False
intel core i7-4980hq,Core i7-4980HQ  - Intel,Intel® Core™ i7-4980HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5750hq,Core i7-5750HQ  - Intel,Intel® Core™ i7-5750HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5775c,Core i7-5775C  - Intel,Intel® Core™ i7-5775C Processor,65.0,65.0,False,4,4,False
intel core i7-5775r,Core i7-5775R  - Intel,Intel® Core™ i7-5775R Processor,65.0,65.0,False,4,4,False
intel core i7-5850eq,Core i7-5850EQ  - Intel,Intel® Core™ i7-5850EQ Processor,47.0,47.0,False,4,4,False
intel core i7-5850hq,Core i7-5850HQ  - Intel,Intel® Core™ i7-5850HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5950hq,Core i7-5950HQ  - Intel,Intel® Core™ i7-5950HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5960x extreme edition,Core i7-5960X Extreme Edition  - Intel,Intel® Core™ i7-5960X Processor Extreme Edition,140.0,140.0,False,8,8,False
intel core i7-6500u,Core i7-6500U  - Intel,Intel® Core™ i7-6500U Processor,15.0,15.0,False,2,2,False
intel core i7-6560u,Core i7-6560U  - Intel,Intel® Core™ i7-6560U Processor,15.0,15.0,False,2,2,False
intel core i7-6567u,Core i7-6567U  - Intel,Intel® Core™ i7-6567U Processor,28.0,28.0,False,2,2,False
intel core i7-6600u,Core i7-6600U  - Intel,Intel® Core™ i7-6600U Processor,15.0,15.0,False,2,2,False
intel core i7-6650u,Core i7-6650U  - Intel,Intel® Core™ i7-6650U Processor,15.0,15.0,False,2,2,False
intel core i7-6660u,Core i7-6660U  - Intel,Intel® Core™ i7-6660U Processor,15.0,15.0,False,2,2,False
intel core i7-6700,Core i7-6700  - Intel,Intel® Core™ i7-6700 Processor,65.0,65.0,False,4,4,False
intel core i7-6700hq,Core i7-6700HQ  - Intel,Intel® Core™ i7-6700HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6700k,Core i7-6700K  - Intel,Intel® Core™ i7-6700K Processor,91.0,91.0,False,4,4,False
intel core i7-6700t,Core i7-6700T  - Intel,Intel® Core™ i7-6700T Processor,35.0,35.0,False,4,4,False
intel core i7-6700te,Core i7-6700TE  - Intel,Intel® Core™ i7-6700TE Processor,35.0,35.0,False,4,4,False
intel core i7-6770hq,Core i7-6770HQ  - Intel,Intel® Core™ i7-6770HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6785r,Core i7-6785R  - Intel,Intel® Core™ i7-6785R Processor,65.0,65.0,False,4,4,False
intel core i7-6820eq,Core i7-6820EQ  - Intel,Intel® Core™ i7-6820EQ Processor,45.0,45.0,False,4,4,False
intel core i7-6820hk,Core i7-6820HK  - Intel,Intel® Core™ i7-6820HK Processor,45.0,45.0,False,4,4,False
intel core i7-6820hq,Core i7-6820HQ  - Intel,Intel® Core™ i7-6820HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6822eq,Core i7-6822EQ  - Intel,Intel® Core™ i7-6822EQ Processor,25.0,25.0,False,4,4,False
intel core i7-6870hq,Core i7-6870HQ  - Intel,Intel® Core™ i7-6870HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6920hq,Core i7-6920HQ  - Intel,Intel® Core™ i7-6920HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6950x extreme edition,Core i7-6950X Extreme Edition  - Intel,Intel® Core™ i7-6950X Processor Extreme Edition,140.0,140.0,False,10,10,False
intel core i7-6970hq,Core i7-6970HQ  - Intel,Intel® Core™ i7-6970HQ Processor,45.0,45.0,False,4,4,False
intel core i7-7500u,Core i7-7500U  - Intel,Intel® Core™ i7-7500U Processor,15.0,15.0,False,2,2,False
intel core i7-7560u,Core i7-7560U  - Intel,Intel® Core™ i7-7560U Processor,15.0,15.0,False,2,2,False
intel core i7-7567u,Core i7-7567U  - Intel,Intel® Core™ i7-7567U Processor,28.0,28.0,False,2,2,False
intel core i7-7600u,Core i7-7600U  - Intel,Intel® Core™ i7-7600U Processor,15.0,15.0,False,2,2,False
intel core i7-7660u,Core i7-7660U  - Intel,Intel® Core™ i7-7660U Processor,15.0,15.0,False,2,2,False
intel core i7-7700,Core i7-7700  - Intel,Intel® Core™ i7-7700 Processor,65.0,65.0,False,4,4,False
intel core i7-7700hq,Core i7-7700HQ  - Intel,Intel® Core™ i7-7700HQ Processor,45.0,45.0,False,4,4,False
intel core i7-7700k,Core i7-7700K  - Intel,Intel® Core™ i7-7700K Processor,91.0,91.0,False,4,4,False
intel core i7-7700t,Core i7-7700T  - Intel,Intel® Core™ i7-7700T Processor,35.0,35.0,False,4,4,False
intel core i7-7820eq,Core i7-7820EQ  - Intel,Intel® Core™ i7-7820EQ Processor,45.0,45.0,False,4,4,False
intel core i7-7820hk,Core i7-7820HK  - Intel,Intel® Core™ i7-7820HK Processor,45.0,45.0,False,4,4,False
intel core i7-7820hq,Core i7-7820HQ  - Intel,Intel® Core™ i7-7820HQ Processor,45.0,45.0,False,4,4,False
intel core i7-7920hq,Core i7-7920HQ  - Intel,Intel® Core™ i7-7920HQ Processor,45.0,45.0,False,4,4,False
intel core i7-7y75,Core i7-7Y75  - Intel,Intel® Core™ i7-7Y75 Processor,4.5,4.5,False,2,2,False
intel core i7-8086k,Core i7-8086K  - Intel,Intel® Core™ i7-8086K Processor,95.0,95.0,False,6,6,False
intel core i7-8500y,Core i7-8500Y  - Intel,Intel® Core™ i7-8500Y Processor,5.0,5.0,False,2,2,False
intel core i7-8550u,Core i7-8550U  - Intel,Intel® Core™ i7-8550U Processor,15.0,15.0,False,4,4,False
intel core i7-8559u,Core i7-8559U  - Intel,Intel® Core™ i7-8559U Processor,28.0,28.0,False,4,4,False
intel core i7-8565u,Core i7-8565U  - Intel,Intel® Core™ i7-8565U Processor,15.0,15.0,False,4,4,False
intel core i7-8650u,Core i7-8650U  - Intel,Intel® Core™ i7-8650U Processor,15.0,15.0,False,4,4,False
intel core i7-8665u,Core i7-8665U  - Intel,Intel® Core™ i7-8665U Processor,15.0,15.0,False,4,4,False
intel core i7-8700,Core i7-8700  - Intel,Intel® Core™ i7-8700 Processor,65.0,65.0,False,6,6,False
intel core i7-8700b,Core i7-8700B  - Intel,Intel® Core™ i7-8700B Processor,65.0,65.0,False,6,6,False
intel core i7-8700k,Core i7-8700K  - Intel,Intel® Core™ i7-8700K Processor,95.0,95.0,False,6,6,False
intel core i7-8700t,Core i7-8700T  - Intel,Intel® Core™ i7-8700T Processor,35.0,35.0,False,6,6,False
intel core i7-8750h,Core i7-8750H  - Intel,Intel® Core™ i7-8750H Processor,45.0,45.0,False,6,6,False
intel core i7-8850h,Core i7-8850H  - Intel,Intel® Core™ i7-8850H Processor,45.0,45.0,False,6,6,False
intel core i7-9700,Core i7-9700  - Intel,Intel® Core™ i7-9700 Processor,65.0,65.0,False,8,8,False
intel core i7-9700f,Core i7-9700F  - Intel,Intel® Core™ i7-9700F Processor,65.0,65.0,False,8,8,False
intel core i7-9700k,Core i7-9700K  - Intel,Intel® Core™ i7-9700K Processor,95.0,95.0,False,8,8,False
intel core i7-9700kf,Core i7-9700KF  - Intel,Intel® Core™ i7-9700KF Processor,95.0,95.0,False,8,8,False
intel core i7-9700t,Core i7-9700T  - Intel,Intel® Core™ i7-9700T Processor,35.0,35.0,False,8,8,False
intel core i7-9750h,Core i7-9750H  - Intel,Intel® Core™ i7-9750H Processor,45.0,45.0,False,6,6,False
intel core i7-9850h,Core i7-9850H  - Intel,Intel® Core™ i7-9850H Processor,45.0,45.0,False,6,6,False
intel core i9-12900k,Core i9-12900K  - Intel,Intel® Core™ i9-12900K Processor,125.0,125.0,False,16,16,False
intel core i9-12900kf,Core i9-12900KF  - Intel,Intel® Core™ i9-12900KF Processor,125.0,125.0,False,16,16,False
intel core i9-13900k,Core i9-13900K  - Intel,Intel® Core™ i9-13900K Processor,125.0,125.0,False,24,24,False
intel core i9-13900kf,Core i9-13900KF  - Intel,Intel® Core™ i9-13900KF Processor,125.0,125.0,False,24,24,False
intel core i9-8950hk,Core i9-8950HK  - Intel,Intel® Core™ i9-8950HK Processor,45.0,45.0,False,6,6,False
intel core i9-9880h,Core i9-9880H  - Intel,Intel® Core™ i9-9880H Processor,45.0,45.0,False,8,8,False
intel core i9-9900,Core i9-9900  - Intel,Intel® Core™ i9-9900 Processor,65.0,65.0,False,8,8,False
intel core i9-9900k,Core i9-9900K  - Intel,Intel® Core™ i9-9900K Processor,95.0,95.0,False,8,8,False
intel core i9-9900kf,Core i9-9900KF  - Intel,Intel® Core™ i9-9900KF Processor,95.0,95.0,False,8,8,False
intel core i9-9900ks,Core i9-9900KS  - Intel,Intel® Core™ i9-9900KS Processor,127.0,127.0,False,8,8,False
intel core i9-9900t,Core i9-9900T  - Intel,Intel® Core™ i9-9900T Processor,35.0,35.0,False,8,8,False
intel core i9-9980hk,Core i9-9980HK  - Intel,Intel® Core™ i9-9980HK Processor,45.0,45.0,False,8,8,False
intel core m3-6y30,Core m3-6Y30  - Intel,Intel® Core™ m3-6Y30 Processor,4.5,4.5,False,2,2,False
