normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i7-13700kf,intel core i7-13700kf,Intel® Core™ i7-13700KF Processor,125.0,125.0,False,16,16,False
intel core i7-3920xm extreme edition,intel core i7-3920xm extreme edition,Intel® Core™ i7-3920XM Processor Extreme Edition,55.0,55.0,False,4,4,False
intel core i7-3940xm extreme edition,intel core i7-3940xm extreme edition,Intel® Core™ i7-3940XM Processor Extreme Edition,55.0,55.0,False,4,4,False
intel core i7-3960x extreme edition,intel core i7-3960x extreme edition,Intel® Core™ i7-3960X Processor Extreme Edition,130.0,130.0,False,6,6,False
intel core i7-3970x extreme edition,intel core i7-3970x extreme edition,Intel® Core™ i7-3970X Processor Extreme Edition,150.0,150.0,False,6,6,False
intel core i7-4750hq,intel core i7-4750hq,Intel® Core™ i7-4750HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4760hq,intel core i7-4760hq,Intel® Core™ i7-4760HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4770hq,intel core i7-4770hq,Intel® Core™ i7-4770HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4770r,intel core i7-4770r,Intel® Core™ i7-4770R Processor,47.0,65.0,True,4,4,False
intel core i7-4850hq,intel core i7-4850hq,Intel® Core™ i7-4850HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4860hq,intel core i7-4860hq,Intel® Core™ i7-4860HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4870hq,intel core i7-4870hq,Intel® Core™ i7-4870HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4930mx extreme edition,intel core i7-4930mx extreme edition,Intel® Core™ i7-4930MX Processor Extreme Edition,57.0,57.0,False,4,4,False
intel core i7-4940mx extreme edition,intel core i7-4940mx extreme edition,Intel® Core™ i7-4940MX Processor Extreme Edition,57.0,57.0,False,4,4,False
intel core i7-4950hq,intel core i7-4950hq,Intel® Core™ i7-4950HQ Processor,47.0,47.0,False,4,4,False
